,BE_VRE-ONS_RG1_20-30,BE_VRE-ONS_RG2_20-30,BE_VRE-ONS_RG3_20-30,DE4-N_VRE-ONS_RG1_20-30,DE4-N_VRE-ONS_RG2_20-30,DE4-N_VRE-ONS_RG3_20-30,DE4-E_VRE-ONS_RG1_20-30,DE4-E_VRE-ONS_RG2_20-30,DE4-E_VRE-ONS_RG3_20-30,DE4-S_VRE-ONS_RG1_20-30,DE4-S_VRE-ONS_RG2_20-30,DE4-S_VRE-ONS_RG3_20-30,DE4-W_VRE-ONS_RG1_20-30,DE4-W_VRE-ONS_RG2_20-30,DE4-W_VRE-ONS_RG3_20-30,DK1_VRE-ONS_RG1_20-30,DK1_VRE-ONS_RG2_20-30,DK1_VRE-ONS_RG3_20-30,DK2_VRE-ONS_RG1_20-30,DK2_VRE-ONS_RG2_20-30,DK2_VRE-ONS_RG3_20-30,EE_VRE-ONS_RG1_20-30,EE_VRE-ONS_RG2_20-30,EE_VRE-ONS_RG3_20-30,FIN_VRE-ONS_RG1_20-30,FIN_VRE-ONS_RG2_20-30,FIN_VRE-ONS_RG3_20-30,FR_VRE-ONS_RG1_20-30,FR_VRE-ONS_RG2_20-30,FR_VRE-ONS_RG3_20-30,UK_VRE-ONS_RG1_20-30,UK_VRE-ONS_RG2_20-30,UK_VRE-ONS_RG3_20-30,LT_VRE-ONS_RG1_20-30,LT_VRE-ONS_RG2_20-30,LT_VRE-ONS_RG3_20-30,LV_VRE-ONS_RG1_20-30,LV_VRE-ONS_RG2_20-30,LV_VRE-ONS_RG3_20-30,NL_VRE-ONS_RG1_20-30,NL_VRE-ONS_RG2_20-30,NL_VRE-ONS_RG3_20-30,NO1_VRE-ONS_RG1_20-30,NO1_VRE-ONS_RG2_20-30,NO1_VRE-ONS_RG3_20-30,NO2_VRE-ONS_RG1_20-30,NO2_VRE-ONS_RG2_20-30,NO2_VRE-ONS_RG3_20-30,NO3_VRE-ONS_RG1_20-30,NO3_VRE-ONS_RG2_20-30,NO3_VRE-ONS_RG3_20-30,NO4_VRE-ONS_RG1_20-30,NO4_VRE-ONS_RG2_20-30,NO4_VRE-ONS_RG3_20-30,NO5_VRE-ONS_RG1_20-30,NO5_VRE-ONS_RG2_20-30,NO5_VRE-ONS_RG3_20-30,PL_VRE-ONS_RG1_20-30,PL_VRE-ONS_RG2_20-30,PL_VRE-ONS_RG3_20-30,SE1_VRE-ONS_RG1_20-30,SE1_VRE-ONS_RG2_20-30,SE1_VRE-ONS_RG3_20-30,SE2_VRE-ONS_RG1_20-30,SE2_VRE-ONS_RG2_20-30,SE2_VRE-ONS_RG3_20-30,SE3_VRE-ONS_RG1_20-30,SE3_VRE-ONS_RG2_20-30,SE3_VRE-ONS_RG3_20-30,SE4_VRE-ONS_RG1_20-30,SE4_VRE-ONS_RG2_20-30,SE4_VRE-ONS_RG3_20-30,Time
262992,11.8384,12.99061,13.42274,7.634436,6.715601,5.903619,9.155332,10.51734,10.63201,12.20443,11.1694,9.357716,11.03118,9.55394,12.62763,8.461034,7.507152,6.952882,7.76668,7.092474,6.741422,10.51116,7.967699,7.802269,9.374861,7.769734,7.162633,8.769958,11.75914,10.23013,12.00268,11.00754,9.577537,9.301891,8.961813,8.20905,8.963655,8.211573,7.544958,8.932822,8.0402,8.708808,6.08027,5.462842,4.441832,9.118104,7.568758,5.437074,11.74065,9.975968,8.003213,21.28077,16.88548,12.42233,12.31593,10.05715,7.564996,9.336906,8.511442,8.206504,16.18447,11.32316,8.808329,10.00498,6.736127,6.988602,7.930583,6.746407,5.976401,8.013815,6.777225,6.024112,02/01/2012 00:00:00
262993,11.14216,12.14247,12.85937,7.139046,6.028614,4.918111,9.328662,11.21405,11.06361,12.23612,11.08565,9.30197,10.60753,10.12842,12.9854,8.59273,7.566218,7.024513,6.888051,5.937981,5.995438,10.58317,8.436062,8.383407,9.578661,8.146136,7.494853,8.705417,11.21957,10.3035,12.12662,11.08902,9.568376,8.943806,8.894252,8.193027,8.78948,8.399311,8.060812,9.333402,8.44483,8.934709,5.991464,5.287304,4.24062,9.08493,7.538063,5.190719,11.70243,9.492576,7.596515,20.84093,16.59577,12.33139,12.6951,10.20499,7.805625,9.549548,8.521401,8.227377,16.20354,11.55478,8.917945,10.09563,6.961025,7.246578,8.112563,6.957249,6.488271,7.374392,6.88646,6.321658,02/01/2012 01:00:00
262994,10.61665,10.76055,11.60558,7.063902,5.470963,4.227183,9.381455,11.80956,11.60587,12.30168,11.13805,9.320781,10.8115,9.806757,12.92922,8.380732,7.430078,6.866054,6.358552,4.946869,5.673562,10.5445,8.702004,8.795922,9.704672,8.443621,7.749292,8.821184,10.69654,10.24949,12.19017,11.14878,9.67484,8.686372,8.847745,8.314529,8.666347,8.444949,8.367389,9.545078,8.818687,9.152586,5.939518,5.183456,4.114343,9.613602,7.800676,4.794115,11.71047,9.413071,7.679007,20.62766,16.47323,12.29715,13.07635,10.19313,7.89374,9.879852,8.753938,8.398796,16.1387,11.60283,9.034673,9.813434,6.931922,7.111269,7.646539,6.669615,6.339816,6.9336,6.62404,6.10438,02/01/2012 02:00:00
262995,9.797441,9.401203,10.0348,7.574964,5.465766,4.459736,9.332969,12.26255,12.00723,12.10239,11.12354,9.313984,10.9504,9.449068,12.44845,8.248063,7.360471,6.881862,5.996454,4.170881,5.391389,10.49901,9.001133,9.080339,9.80485,8.758674,7.996277,9.109121,10.26638,10.12013,12.27798,11.18629,9.74118,8.474042,8.756763,8.364368,8.683734,8.587236,8.614211,9.682199,8.78375,8.923357,6.244759,5.179134,3.940251,10.07274,8.042626,4.570067,11.88712,9.455641,7.892822,20.47757,16.37303,12.27689,13.38848,10.17138,8.037198,10.2777,9.079051,8.643728,16.09351,11.58696,9.122223,9.545035,6.980042,6.894414,7.219542,6.346875,6.163404,6.213447,6.179897,5.753289,02/01/2012 03:00:00
262996,8.869774,8.626207,8.901627,8.276852,6.067961,5.706928,9.402005,12.46009,12.22995,11.69812,11.02378,9.331565,10.67064,9.151777,11.4523,8.213677,7.408149,7.0191,5.822352,4.089317,5.323871,10.39277,9.238053,9.215654,9.871366,9.052009,8.260454,9.49439,9.971487,9.989582,12.31415,11.17344,9.710532,8.182063,8.595295,8.28165,8.671057,8.644407,8.71949,9.672419,8.634569,8.600331,6.487124,5.068579,3.693946,10.3826,8.142933,4.825029,12.29581,9.76703,8.179276,20.30433,16.27235,12.22326,13.49874,10.07531,8.177654,10.71391,9.44846,8.923244,16.06661,11.53566,9.195413,9.405369,7.003524,6.696244,6.852098,6.067122,5.998402,5.181714,5.790623,5.43293,02/01/2012 04:00:00
262997,8.34126,8.291439,8.231593,9.03054,6.880679,6.761154,9.584741,12.36022,12.25571,11.26274,10.90667,9.357456,10.03019,8.881833,10.19996,8.392429,7.667693,7.20547,5.341203,4.407076,5.407286,10.26995,9.412578,9.258773,9.889387,9.2955,8.512,9.82091,9.734578,9.847121,12.29035,11.17275,9.654247,8.058183,8.434117,8.092978,8.604299,8.588963,8.72331,9.604164,8.497392,8.486578,6.364789,4.853688,3.344682,10.42044,8.134638,5.342733,12.90143,10.26225,8.379775,20.09019,16.21129,12.13631,13.32198,9.870919,8.188632,11.19072,9.833245,9.179147,16.1144,11.47747,9.269973,9.365145,6.960033,6.546348,6.553207,5.909372,5.835156,4.019415,5.323393,5.338437,02/01/2012 05:00:00
262998,8.217063,8.048734,7.683747,9.572239,7.650647,7.431752,9.548092,11.88275,12.12756,10.90267,10.82155,9.347367,9.353708,8.542332,9.126678,8.594776,7.987367,7.438286,5.486161,4.284471,5.123427,10.17382,9.532796,9.22854,9.98203,9.463957,8.685277,10.08924,9.543996,9.678367,12.26296,11.2234,9.659732,8.203121,8.361923,7.999923,8.58222,8.576882,8.74917,9.433438,8.342352,8.173952,6.23867,4.8339,3.140776,10.16283,8.106253,5.751352,13.52432,10.66786,8.493569,19.93948,16.19272,12.09306,12.87887,9.862669,8.17266,11.65682,10.21955,9.430041,16.23935,11.45462,9.36291,9.4257,6.860955,6.453895,6.420006,5.882246,5.737485,3.482105,4.684776,5.24416,02/01/2012 06:00:00
262999,8.134157,7.883534,7.318213,9.640409,7.984368,7.83649,9.228255,10.93351,11.8433,10.61203,10.71513,9.296067,8.837697,8.324566,8.178301,8.664533,8.164259,7.728596,6.357751,4.862083,5.569715,10.06396,9.594131,9.147855,10.1505,9.57569,8.800351,10.26396,9.459136,9.521805,12.33447,11.33071,9.717107,8.476936,8.493695,8.191292,8.628876,8.68858,8.82539,9.107784,8.131105,7.648588,6.338346,5.052485,3.431025,9.898568,8.117531,6.071835,13.93503,10.90329,8.565559,19.84362,16.18234,12.1345,12.66081,10.08944,8.097854,11.95298,10.54529,9.671702,16.30907,11.45246,9.479015,9.48873,6.770474,6.395573,6.420886,5.857446,5.663349,3.42655,4.316836,5.003723,02/01/2012 07:00:00
263000,8.024364,7.779331,7.264323,9.469753,8.181499,8.172684,8.896561,9.717766,11.24302,10.39452,10.52975,9.208447,8.674075,8.190889,7.449333,9.167031,8.253749,7.953431,7.071969,6.549529,7.033722,10.05657,9.665354,9.069522,10.27899,9.67075,8.907783,10.55563,9.491352,9.424713,12.53574,11.50145,9.852536,8.956513,8.959502,8.648941,8.757373,8.891127,8.917993,8.859576,7.990221,7.21604,6.572531,5.390641,4.046117,9.745732,8.134418,6.35351,14.00963,11.04112,8.6433,19.703,16.13166,12.18816,12.70899,10.18384,7.932847,12.05437,10.72268,9.83287,16.20728,11.40231,9.595229,9.428983,6.708641,6.335218,6.491134,5.757597,5.55301,3.521761,4.377127,4.807051,02/01/2012 08:00:00
263001,7.917627,7.633996,7.342765,9.295605,8.524814,8.364939,8.685864,8.670676,10.20843,10.01243,10.27496,9.089829,8.641423,7.984004,7.01707,9.966675,8.533133,8.151153,7.891279,8.140017,7.961024,10.13992,9.756193,9.024204,10.34551,9.755298,9.013764,10.89839,9.474803,9.25995,12.87315,11.72686,10.05296,9.576498,9.526186,9.111588,8.977202,9.133657,9.045605,8.742716,7.838362,6.928914,6.778659,5.737144,4.632842,9.621417,8.241584,6.619102,13.9337,11.21873,8.822183,19.52814,16.05041,12.21941,12.60155,10.09745,7.941793,11.98298,10.7509,9.893187,16.05869,11.28546,9.664167,9.379737,6.683308,6.274949,6.573086,5.611629,5.485629,3.669111,4.574016,4.668066,02/01/2012 09:00:00
