,BE_VRE-ONS-LW_RG1_50,BE_VRE-ONS-LW_RG2_50,BE_VRE-ONS-LW_RG3_50,DE4-N_VRE-ONS-LW_RG2_50,DE4-N_VRE-ONS-LW_RG3_50,DE4-E_VRE-ONS-LW_RG1_50,DE4-E_VRE-ONS-LW_RG2_50,DE4-E_VRE-ONS-LW_RG3_50,DE4-S_VRE-ONS-LW_RG1_50,DE4-S_VRE-ONS-LW_RG2_50,DE4-S_VRE-ONS-LW_RG3_50,DE4-W_VRE-ONS-LW_RG1_50,DE4-W_VRE-ONS-LW_RG2_50,DE4-W_VRE-ONS-LW_RG3_50,DK1_VRE-ONS-LW_RG3_50,DK2_VRE-ONS-LW_RG3_50,EE_VRE-ONS-LW_RG1_50,EE_VRE-ONS-LW_RG2_50,EE_VRE-ONS-LW_RG3_50,FIN_VRE-ONS-LW_RG1_50,FIN_VRE-ONS-LW_RG2_50,FIN_VRE-ONS-LW_RG3_50,FR_VRE-ONS-LW_RG1_50,FR_VRE-ONS-LW_RG2_50,FR_VRE-ONS-LW_RG3_50,UK_VRE-ONS-LW_RG3_50,LT_VRE-ONS-LW_RG1_50,LT_VRE-ONS-LW_RG2_50,LT_VRE-ONS-LW_RG3_50,LV_VRE-ONS-LW_RG1_50,LV_VRE-ONS-LW_RG2_50,LV_VRE-ONS-LW_RG3_50,NL_VRE-ONS-LW_RG1_50,NL_VRE-ONS-LW_RG2_50,NL_VRE-ONS-LW_RG3_50,NO1_VRE-ONS-LW_RG1_50,NO1_VRE-ONS-LW_RG2_50,NO1_VRE-ONS-LW_RG3_50,NO2_VRE-ONS-LW_RG2_50,NO2_VRE-ONS-LW_RG3_50,NO3_VRE-ONS-LW_RG2_50,NO3_VRE-ONS-LW_RG3_50,NO4_VRE-ONS-LW_RG2_50,NO4_VRE-ONS-LW_RG3_50,NO5_VRE-ONS-LW_RG2_50,NO5_VRE-ONS-LW_RG3_50,PL_VRE-ONS-LW_RG1_50,PL_VRE-ONS-LW_RG2_50,PL_VRE-ONS-LW_RG3_50,SE1_VRE-ONS-LW_RG2_50,SE1_VRE-ONS-LW_RG3_50,SE2_VRE-ONS-LW_RG1_50,SE2_VRE-ONS-LW_RG2_50,SE2_VRE-ONS-LW_RG3_50,SE3_VRE-ONS-LW_RG1_50,SE3_VRE-ONS-LW_RG2_50,SE3_VRE-ONS-LW_RG3_50,SE4_VRE-ONS-LW_RG1_50,SE4_VRE-ONS-LW_RG2_50,SE4_VRE-ONS-LW_RG3_50,Time
262992,13.15492,14.24771,14.77949,7.715606,6.987949,10.50665,12.08705,12.34616,14.05162,13.08912,11.07672,12.45767,10.66012,14.02557,7.960995,7.888877,11.63593,9.275827,8.94707,10.49945,9.110815,8.491414,10.25836,12.97976,11.7027,10.95033,10.3077,9.833627,9.044389,9.990081,9.193747,8.427093,10.02354,9.363029,9.961623,7.270549,6.64028,5.325233,7.653019,6.577528,10.65113,9.287823,14.92891,13.71187,10.93018,9.014584,10.82586,10.091,9.725662,12.3477,10.00433,10.76652,7.876083,8.081887,9.325003,8.106175,7.348678,9.237152,8.222586,7.474094,02/01/2012 00:00:00
262993,12.44045,13.35091,14.15656,6.734094,5.727383,10.69363,12.7322,12.6632,14.02401,12.95335,10.95153,12.03094,11.27182,14.33557,8.100169,6.937444,11.79718,9.945806,9.683798,10.64517,9.60585,8.938226,10.17738,12.4591,11.76755,10.95339,9.986202,9.71745,8.990806,9.776073,9.305644,8.959533,10.20738,9.948395,10.18263,7.036456,6.400826,5.109216,7.670508,6.433156,10.13047,8.625199,14.46389,13.52372,10.99471,9.282208,11.03361,10.0914,9.73632,12.5504,10.12073,10.99673,8.145937,8.37331,9.513703,8.346254,7.942211,8.566487,8.419351,7.915303,02/01/2012 01:00:00
262994,11.89484,11.95696,12.87885,6.026916,4.878455,10.78408,13.31196,13.17515,14.10755,13.03752,10.95508,12.34731,10.95502,14.25833,7.935643,6.35782,11.69361,10.11009,10.02569,10.8152,9.889144,9.116367,10.24052,11.96251,11.69014,11.09105,9.758968,9.709299,9.140638,9.665258,9.379589,9.300672,10.3731,10.29838,10.41246,6.829931,6.209074,4.939969,7.957325,5.941132,10.12848,8.625388,14.38016,13.49397,10.84329,9.366011,11.34171,10.3384,9.918934,12.62226,10.2542,10.73394,8.111369,8.255075,8.959065,8.006138,7.736235,8.043748,8.180644,7.708787,02/01/2012 02:00:00
262995,11.05185,10.60436,11.28639,6.145448,5.206883,10.77476,13.74024,13.56568,13.9329,13.0359,10.92016,12.51963,10.66956,13.73953,7.993004,5.729423,11.59559,10.3113,10.24998,10.92845,10.19167,9.328405,10.41806,11.55809,11.52614,11.17776,9.598625,9.669059,9.217187,9.740678,9.574498,9.577891,10.40079,10.18951,10.14654,7.129329,6.208134,4.72566,8.211258,5.612468,10.19696,8.812215,14.2419,13.47657,10.72322,9.488219,11.82055,10.69686,10.1794,12.61093,10.33467,10.40278,8.178304,8.063415,8.464231,7.624934,7.500029,7.22635,7.624371,7.293822,02/01/2012 03:00:00
262996,10.08751,9.852741,10.12518,7.152869,6.740921,10.83445,13.90538,13.78729,13.49945,12.93726,10.93668,12.1594,10.43522,12.69109,8.16756,5.431311,11.45133,10.4597,10.33296,11.01328,10.48314,9.603548,10.68325,11.28535,11.35488,11.14837,9.376401,9.550866,9.177296,9.790809,9.672476,9.69,10.34126,9.937723,9.776906,7.445719,6.116575,4.470756,8.286144,5.800025,10.3899,9.178367,14.09659,13.42457,10.5463,9.6128,12.41441,11.10378,10.47446,12.5483,10.3846,10.26559,8.247593,7.902246,8.055204,7.277168,7.285945,6.155456,7.098918,6.801121,02/01/2012 04:00:00
262997,9.548772,9.528472,9.428391,8.406901,8.121632,10.88614,13.75869,13.80368,12.99793,12.79999,10.97696,11.3745,10.15703,11.37692,8.335967,5.379923,11.26996,10.55636,10.33994,11.06025,10.72077,9.864893,10.95918,11.0591,11.17101,11.08578,9.312897,9.423308,9.030456,9.780956,9.639174,9.696198,10.35538,9.733996,9.646998,7.349332,5.905489,4.122596,8.268743,6.357489,10.71713,9.532266,14.1517,13.34043,10.32087,9.630932,12.97043,11.51998,10.75549,12.48477,10.44532,10.23308,8.236025,7.759092,7.722774,7.061391,7.073287,4.944488,6.470717,6.518382,02/01/2012 05:00:00
262998,9.469282,9.293337,8.87758,9.311035,8.948807,10.75457,13.20809,13.65171,12.57079,12.69077,10.96972,10.55951,9.767556,10.24823,8.552163,5.125577,11.12281,10.62906,10.28468,11.17142,10.87504,10.01841,11.16931,10.86946,10.96865,11.08719,9.53867,9.381132,8.965496,9.849312,9.650139,9.722608,10.17457,9.582795,9.287737,7.21483,5.913023,3.854983,8.312847,6.918194,11.12427,9.810689,14.23791,13.31593,10.38285,9.604725,13.47248,11.94199,11.03562,12.45305,10.5343,10.23422,8.160364,7.635458,7.593285,7.03598,6.9423,4.316801,5.506073,6.25115,02/01/2012 06:00:00
262999,9.405552,9.158752,8.508277,9.502302,9.291272,10.37541,12.17895,13.33857,12.23218,12.55193,10.91042,9.993677,9.515975,9.283178,8.804019,5.958553,10.99743,10.67556,10.17877,11.33762,10.97439,10.10971,11.268,10.77442,10.79168,11.14117,9.949286,9.561406,9.178967,9.98813,9.781965,9.798817,9.816613,9.396761,8.690556,7.369321,6.183951,4.056971,8.396138,7.364192,11.47019,10.02003,14.32231,13.3926,10.64002,9.488736,13.76123,12.29558,11.29284,12.42576,10.65527,10.26007,8.066734,7.560067,7.622848,7.072856,6.877002,4.212713,4.813111,5.81045,02/01/2012 07:00:00
263000,9.269947,9.07903,8.45774,9.519124,9.503015,9.940019,10.89706,12.68387,11.94225,12.30979,10.8171,9.839257,9.360597,8.572737,8.927108,7.987335,10.99345,10.73557,10.0728,11.48479,11.05277,10.1993,11.44678,10.78717,10.69633,11.28549,10.54129,10.07727,9.660784,10.15461,10.00065,9.887235,9.668804,9.270152,8.155926,7.673911,6.551209,4.748437,8.459538,7.661333,11.70258,10.15202,14.45561,13.4765,10.69456,9.291022,13.81426,12.46039,11.43648,12.34822,10.7804,10.1951,7.979978,7.537057,7.706166,7.016752,6.779195,4.130494,4.764633,5.462602,02/01/2012 08:00:00
263001,9.199928,8.920423,8.547567,9.703303,9.526913,9.788413,9.822667,11.48775,11.41818,11.93541,10.6526,9.825836,9.110082,8.135543,9.067594,9.445433,11.07133,10.78597,9.98232,11.62465,11.09865,10.27272,11.60067,10.7086,10.4958,11.51862,11.17057,10.64727,10.14212,10.33202,10.22948,10.01828,9.680972,9.190333,7.775967,7.9188,6.961092,5.576184,8.569309,7.885081,11.92874,10.33168,14.46155,13.52429,10.59883,9.296798,13.64669,12.37676,11.39046,12.2141,10.86652,10.17374,7.947399,7.528477,7.834053,6.889355,6.725557,4.225358,5.043384,5.314871,02/01/2012 09:00:00
263002,8.73778,8.615957,8.392272,9.641272,9.12301,9.737389,9.193116,10.05474,10.7132,11.49829,10.44003,9.592367,8.775469,7.685625,9.313446,9.819301,10.9766,10.74623,9.879302,11.74648,11.05798,10.29324,11.5071,10.39797,10.11565,11.51443,11.4948,10.98297,10.46283,10.53023,10.39267,10.12595,9.365818,8.770247,7.543272,8.096192,7.25737,6.179091,8.748195,8.066165,12.03301,10.50627,14.36047,13.50208,10.39205,9.299546,13.30189,12.08429,11.18697,12.09457,10.86863,10.19636,7.925811,7.432217,7.978498,6.776032,6.613952,5.479381,5.48543,5.240387,02/01/2012 10:00:00
