"RRR","AAA"
"DK1","DK1_Large"
"DK1","DK1_Rural"
"DK1","DK1_Medium"
"DK1","DK1_Small"
"DK1","DK1_MedSmall"
"DK1","DK1_NoDH"
"DK1","DK1_Offshore"
"DK1","DK1_VRE-OFF1_RG1_20-30"
"DK1","DK1_VRE-OFF1_RG2_20-30"
"DK1","DK1_VRE-OFF1_RG3_20-30"
"DK1","DK1_VRE-OFF1_RG1_30-40"
"DK1","DK1_VRE-OFF1_RG2_30-40"
"DK1","DK1_VRE-OFF1_RG3_30-40"
"DK1","DK1_VRE-OFF1_RG1_40-50"
"DK1","DK1_VRE-OFF1_RG2_40-50"
"DK1","DK1_VRE-OFF1_RG3_40-50"
"DK1","DK1_VRE-OFF1_RG1_50"
"DK1","DK1_VRE-OFF1_RG2_50"
"DK1","DK1_VRE-OFF1_RG3_50"
"DK1","DK1_VRE-ONS_RG1_20-30"
"DK1","DK1_VRE-ONS_RG2_20-30"
"DK1","DK1_VRE-ONS_RG3_20-30"
"DK1","DK1_VRE-ONS_RG1_30-40"
"DK1","DK1_VRE-ONS_RG2_30-40"
"DK1","DK1_VRE-ONS_RG3_30-40"
"DK1","DK1_VRE-ONS_RG1_40-50"
"DK1","DK1_VRE-ONS_RG2_40-50"
"DK1","DK1_VRE-ONS_RG3_40-50"
"DK1","DK1_VRE-ONS_RG1_50"
"DK1","DK1_VRE-ONS_RG2_50"
"DK1","DK1_VRE-ONS_RG3_50"
"DK1","DK1_VRE-ONS-LW_RG1_20-30"
"DK1","DK1_VRE-ONS-LW_RG2_20-30"
"DK1","DK1_VRE-ONS-LW_RG3_20-30"
"DK1","DK1_VRE-ONS-LW_RG1_30-40"
"DK1","DK1_VRE-ONS-LW_RG2_30-40"
"DK1","DK1_VRE-ONS-LW_RG3_30-40"
"DK1","DK1_VRE-ONS-LW_RG1_40-50"
"DK1","DK1_VRE-ONS-LW_RG2_40-50"
"DK1","DK1_VRE-ONS-LW_RG3_40-50"
"DK1","DK1_VRE-ONS-LW_RG1_50"
"DK1","DK1_VRE-ONS-LW_RG2_50"
"DK1","DK1_VRE-ONS-LW_RG3_50"
"DK1","DK1_IND-HT-NODH"
"DK1","DK1_IND-HT-DH"
"DK1","DK1_IND-LT-NODH"
"DK1","DK1_IND-LT-DH"
"DK1","DK1_IND-MT-NODH"
"DK1","DK1_IND-MT-DH"
"DK1","DK1_IDVU-HOTWTR"
"DK1","DK1_IDVU-SPACEHEAT"
"DK2","DK2_Large"
"DK2","DK2_Rural"
"DK2","DK2_Medium"
"DK2","DK2_MedSmall"
"DK2","DK2_Small"
"DK2","DK2_NoDH"
"DK2","DK2_Offshore"
"DK2","DK2_VRE-OFF1_RG1_20-30"
"DK2","DK2_VRE-OFF1_RG2_20-30"
"DK2","DK2_VRE-OFF1_RG1_30-40"
"DK2","DK2_VRE-OFF1_RG2_30-40"
"DK2","DK2_VRE-OFF1_RG1_40-50"
"DK2","DK2_VRE-OFF1_RG2_40-50"
"DK2","DK2_VRE-OFF1_RG1_50"
"DK2","DK2_VRE-OFF1_RG2_50"
"DK2","DK2_VRE-ONS_RG1_20-30"
"DK2","DK2_VRE-ONS_RG2_20-30"
"DK2","DK2_VRE-ONS_RG3_20-30"
"DK2","DK2_VRE-ONS_RG1_30-40"
"DK2","DK2_VRE-ONS_RG2_30-40"
"DK2","DK2_VRE-ONS_RG3_30-40"
"DK2","DK2_VRE-ONS_RG1_40-50"
"DK2","DK2_VRE-ONS_RG2_40-50"
"DK2","DK2_VRE-ONS_RG3_40-50"
"DK2","DK2_VRE-ONS_RG1_50"
"DK2","DK2_VRE-ONS_RG2_50"
"DK2","DK2_VRE-ONS_RG3_50"
"DK2","DK2_VRE-ONS-LW_RG1_20-30"
"DK2","DK2_VRE-ONS-LW_RG2_20-30"
"DK2","DK2_VRE-ONS-LW_RG3_20-30"
"DK2","DK2_VRE-ONS-LW_RG1_30-40"
"DK2","DK2_VRE-ONS-LW_RG2_30-40"
"DK2","DK2_VRE-ONS-LW_RG3_30-40"
"DK2","DK2_VRE-ONS-LW_RG1_40-50"
"DK2","DK2_VRE-ONS-LW_RG2_40-50"
"DK2","DK2_VRE-ONS-LW_RG3_40-50"
"DK2","DK2_VRE-ONS-LW_RG1_50"
"DK2","DK2_VRE-ONS-LW_RG2_50"
"DK2","DK2_VRE-ONS-LW_RG3_50"
"DK2","DK2_IND-HT-NODH"
"DK2","DK2_IND-HT-DH"
"DK2","DK2_IND-LT-NODH"
"DK2","DK2_IND-LT-DH"
"DK2","DK2_IND-MT-NODH"
"DK2","DK2_IND-MT-DH"
"DK2","DK2_IDVU-HOTWTR"
"DK2","DK2_IDVU-SPACEHEAT"
"FIN","FinA"
"FIN","FI_large"
"FIN","FI_large_gas"
