SSS,TTT
S001,T01
S001,T02
S001,T03
S001,T04
S001,T05
S001,T06
S001,T07
S001,T08
S001,T09
S001,T10
S001,T11
S001,T12
S001,T13
S001,T14
S001,T15
S001,T16
S001,T17
S001,T18
S001,T19
S001,T20
S001,T21
S001,T22
S001,T23
S001,T24
S002,T01
S002,T02
S002,T03
S002,T04
S002,T05
S002,T06
S002,T07
S002,T08
S002,T09
S002,T10
S002,T11
S002,T12
S002,T13
S002,T14
S002,T15
S002,T16
S002,T17
S002,T18
S002,T19
S002,T20
S002,T21
S002,T22
S002,T23
S002,T24
S003,T01
S003,T02
S003,T03
S003,T04
S003,T05
S003,T06
S003,T07
S003,T08
S003,T09
S003,T10
S003,T11
S003,T12
S003,T13
S003,T14
S003,T15
S003,T16
S003,T17
S003,T18
S003,T19
S003,T20
S003,T21
S003,T22
S003,T23
S003,T24
S004,T01
S004,T02
S004,T03
S004,T04
S004,T05
S004,T06
S004,T07
S004,T08
S004,T09
S004,T10
S004,T11
S004,T12
S004,T13
S004,T14
S004,T15
S004,T16
S004,T17
S004,T18
S004,T19
S004,T20
S004,T21
S004,T22
S004,T23
S004,T24
S005,T01
S005,T02
S005,T03
S005,T04
S005,T05
S005,T06
S005,T07
S005,T08
S005,T09
S005,T10
S005,T11
S005,T12
S005,T13
S005,T14
S005,T15
S005,T16
S005,T17
S005,T18
S005,T19
S005,T20
S005,T21
S005,T22
S005,T23
S005,T24
S006,T01
S006,T02
S006,T03
S006,T04
S006,T05
S006,T06
S006,T07
S006,T08
S006,T09
S006,T10
S006,T11
S006,T12
S006,T13
S006,T14
S006,T15
S006,T16
S006,T17
S006,T18
S006,T19
S006,T20
S006,T21
S006,T22
S006,T23
S006,T24
S007,T01
S007,T02
S007,T03
S007,T04
S007,T05
S007,T06
S007,T07
S007,T08
S007,T09
S007,T10
S007,T11
S007,T12
S007,T13
S007,T14
S007,T15
S007,T16
S007,T17
S007,T18
S007,T19
S007,T20
S007,T21
S007,T22
S007,T23
S007,T24
S008,T01
S008,T02
S008,T03
S008,T04
S008,T05
S008,T06
S008,T07
S008,T08
S008,T09
S008,T10
S008,T11
S008,T12
S008,T13
S008,T14
S008,T15
S008,T16
S008,T17
S008,T18
S008,T19
S008,T20
S008,T21
S008,T22
S008,T23
S008,T24
S009,T01
S009,T02
S009,T03
S009,T04
S009,T05
S009,T06
S009,T07
S009,T08
S009,T09
S009,T10
S009,T11
S009,T12
S009,T13
S009,T14
S009,T15
S009,T16
S009,T17
S009,T18
S009,T19
S009,T20
S009,T21
S009,T22
S009,T23
S009,T24
S010,T01
S010,T02
S010,T03
S010,T04
S010,T05
S010,T06
S010,T07
S010,T08
S010,T09
S010,T10
S010,T11
S010,T12
S010,T13
S010,T14
S010,T15
S010,T16
S010,T17
S010,T18
S010,T19
S010,T20
S010,T21
S010,T22
S010,T23
S010,T24
S011,T01
S011,T02
S011,T03
S011,T04
S011,T05
S011,T06
S011,T07
S011,T08
S011,T09
S011,T10
S011,T11
S011,T12
S011,T13
S011,T14
S011,T15
S011,T16
S011,T17
S011,T18
S011,T19
S011,T20
S011,T21
S011,T22
S011,T23
S011,T24
S012,T01
S012,T02
S012,T03
S012,T04
S012,T05
S012,T06
S012,T07
S012,T08
S012,T09
S012,T10
S012,T11
S012,T12
S012,T13
S012,T14
S012,T15
S012,T16
S012,T17
S012,T18
S012,T19
S012,T20
S012,T21
S012,T22
S012,T23
S012,T24
S013,T01
S013,T02
S013,T03
S013,T04
S013,T05
S013,T06
S013,T07
S013,T08
S013,T09
S013,T10
S013,T11
S013,T12
S013,T13
S013,T14
S013,T15
S013,T16
S013,T17
S013,T18
S013,T19
S013,T20
S013,T21
S013,T22
S013,T23
S013,T24
S014,T01
S014,T02
S014,T03
S014,T04
S014,T05
S014,T06
S014,T07
S014,T08
S014,T09
S014,T10
S014,T11
S014,T12
S014,T13
S014,T14
S014,T15
S014,T16
S014,T17
S014,T18
S014,T19
S014,T20
S014,T21
S014,T22
S014,T23
S014,T24
S015,T01
S015,T02
S015,T03
S015,T04
S015,T05
S015,T06
S015,T07
S015,T08
S015,T09
S015,T10
S015,T11
S015,T12
S015,T13
S015,T14
S015,T15
S015,T16
S015,T17
S015,T18
S015,T19
S015,T20
S015,T21
S015,T22
S015,T23
S015,T24
S016,T01
S016,T02
S016,T03
S016,T04
S016,T05
S016,T06
S016,T07
S016,T08
S016,T09
S016,T10
S016,T11
S016,T12
S016,T13
S016,T14
S016,T15
S016,T16
S016,T17
S016,T18
S016,T19
S016,T20
S016,T21
S016,T22
S016,T23
S016,T24
S017,T01
S017,T02
S017,T03
S017,T04
S017,T05
S017,T06
S017,T07
S017,T08
S017,T09
S017,T10
S017,T11
S017,T12
S017,T13
S017,T14
S017,T15
S017,T16
S017,T17
S017,T18
S017,T19
S017,T20
S017,T21
S017,T22
S017,T23
