SSS,TTT
S0001,T01
S0001,T02
S0001,T03
S0001,T04
S0001,T05
S0001,T06
S0001,T07
S0001,T08
S0001,T09
S0001,T10
S0001,T11
S0001,T12
S0002,T01
S0002,T02
S0002,T03
S0002,T04
S0002,T05
S0002,T06
S0002,T07
S0002,T08
S0002,T09
S0002,T10
S0002,T11
S0002,T12
S0003,T01
S0003,T02
S0003,T03
S0003,T04
S0003,T05
S0003,T06
S0003,T07
S0003,T08
S0003,T09
S0003,T10
S0003,T11
S0003,T12
S0004,T01
S0004,T02
S0004,T03
S0004,T04
S0004,T05
S0004,T06
S0004,T07
S0004,T08
S0004,T09
S0004,T10
S0004,T11
S0004,T12
S0005,T01
S0005,T02
S0005,T03
S0005,T04
S0005,T05
S0005,T06
S0005,T07
S0005,T08
S0005,T09
S0005,T10
S0005,T11
S0005,T12
S0006,T01
S0006,T02
S0006,T03
S0006,T04
S0006,T05
S0006,T06
S0006,T07
S0006,T08
S0006,T09
S0006,T10
S0006,T11
S0006,T12
S0007,T01
S0007,T02
S0007,T03
S0007,T04
S0007,T05
S0007,T06
S0007,T07
S0007,T08
S0007,T09
S0007,T10
S0007,T11
S0007,T12
S0008,T01
S0008,T02
S0008,T03
S0008,T04
S0008,T05
S0008,T06
S0008,T07
S0008,T08
S0008,T09
S0008,T10
S0008,T11
S0008,T12
S0009,T01
S0009,T02
S0009,T03
S0009,T04
S0009,T05
S0009,T06
S0009,T07
S0009,T08
S0009,T09
S0009,T10
S0009,T11
S0009,T12
S0010,T01
S0010,T02
S0010,T03
S0010,T04
S0010,T05
S0010,T06
S0010,T07
S0010,T08
S0010,T09
S0010,T10
S0010,T11
S0010,T12
S0011,T01
S0011,T02
S0011,T03
S0011,T04
S0011,T05
S0011,T06
S0011,T07
S0011,T08
S0011,T09
S0011,T10
S0011,T11
S0011,T12
S0012,T01
S0012,T02
S0012,T03
S0012,T04
S0012,T05
S0012,T06
S0012,T07
S0012,T08
S0012,T09
S0012,T10
S0012,T11
S0012,T12
S0013,T01
S0013,T02
S0013,T03
S0013,T04
S0013,T05
S0013,T06
S0013,T07
S0013,T08
S0013,T09
S0013,T10
S0013,T11
S0013,T12
S0014,T01
S0014,T02
S0014,T03
S0014,T04
S0014,T05
S0014,T06
S0014,T07
S0014,T08
S0014,T09
S0014,T10
S0014,T11
S0014,T12
S0015,T01
S0015,T02
S0015,T03
S0015,T04
S0015,T05
S0015,T06
S0015,T07
S0015,T08
S0015,T09
S0015,T10
S0015,T11
S0015,T12
S0016,T01
S0016,T02
S0016,T03
S0016,T04
S0016,T05
S0016,T06
S0016,T07
S0016,T08
S0016,T09
S0016,T10
S0016,T11
S0016,T12
S0017,T01
S0017,T02
S0017,T03
S0017,T04
S0017,T05
S0017,T06
S0017,T07
S0017,T08
S0017,T09
S0017,T10
S0017,T11
S0017,T12
S0018,T01
S0018,T02
S0018,T03
S0018,T04
S0018,T05
S0018,T06
S0018,T07
S0018,T08
S0018,T09
S0018,T10
S0018,T11
S0018,T12
S0019,T01
S0019,T02
S0019,T03
S0019,T04
S0019,T05
S0019,T06
S0019,T07
S0019,T08
S0019,T09
S0019,T10
S0019,T11
S0019,T12
S0020,T01
S0020,T02
S0020,T03
S0020,T04
S0020,T05
S0020,T06
S0020,T07
S0020,T08
S0020,T09
S0020,T10
S0020,T11
S0020,T12
S0021,T01
S0021,T02
S0021,T03
S0021,T04
S0021,T05
S0021,T06
S0021,T07
S0021,T08
S0021,T09
S0021,T10
S0021,T11
S0021,T12
S0022,T01
S0022,T02
S0022,T03
S0022,T04
S0022,T05
S0022,T06
S0022,T07
S0022,T08
