Lat,Lon,RRR,Type,Display
60.8,10.6765,NO1,region,1
59.14,7.6652,NO2,region,1
62.6124,9.5292,NO3,region,1
65.5804,13.0112,NO4,region,1
60.8,6.6,NO5,region,1
56.35,9.39,DK1,region,1
55.47,11.79,DK2,region,1
61.9096,24.9048,FIN,region,1
52.1014,12.4,DE4-E,region,1
54.01,9.94,DE4-N,region,1
48.8778,10.0527,DE4-S,region,1
52.1014,8.3,DE4-W,region,1
52.26,5.34,NL,region,1
65.5804,17.9102,SE1,region,1
63.3607,15.855,SE2,region,1
59.45,14.6753,SE3,region,1
56.7153,14.4138,SE4,region,1
52.9814,-1.4132,UK,region,1
52.7,17.9,PL,region,1
50.6766,4.5966,BE,region,1
46.9944,2.8898,FR,region,1
58.977754,25.995884,EE,region,0
56.734913,25.952979,LV,region,0
55.386985,23.924811,LT,region,0
49.914839,15.040809,CZ,region,0
53.06,-7.84,IE,region,0
39.22,-8.28,PT,region,0
40.24,-2.95,ES,region,0
43.67,11.83,IT,region,0
46.89,7.94,CH,region,0
47.9,14.37,AT,region,0
45.98,14.55,SI,region,0
45.48,15.59,HR,region,0
44.61,20.61,RS,region,0
44.12,17.67,BA,region,0
48.65,18.98,SK,region,0
47.01,18.44,HU,region,0
46.11,24.68,RO,region,0
47.07,28.71,MD,region,0
49.89,26.12,UA,region,0
53.61,28.07,BY,region,0
55.27,36.31,RU,region,0
47.12,9.56,LI,region,0
42.55,1.59,AN,region,0
49.73,6.12,LU,region,0
54.352,6.3325,31_DE_OFF_2_Hub_BorWin,hub,0
54.453,7.739,31_DE_OFF_2_Hub_HelWin,hub,0
55.063,7.24,31_DE_OFF_2_Hub_SylWin,hub,0
53.9915,6.660333333,31_DE_OFF_2_Hub_DolWin,hub,0
52.86961366,2.761173437,90_UK_OFF_2_Hub_UKandNL_w,hub,0
52.93131079,3.667689741,NL3_OFF_2_Hub_UKandNL_e,hub,1
54.9107,5.332,31_DE_OFF_2_Hub_NorWin,hub,0
54.7266,6.23735,31_DE_OFF_2_Hub_WeiWin,hub,1
53.98840028,1.458576138,93_UK_OFF_2_Hub_HornSea_w,hub,0
53.8756283,2.23465035,93_UK_OFF_2_Hub_HornSea_e,hub,0
54.96255271,1.801716778,93_UK_OFF_2_Hub_DoggerBank_w,hub,0
55.24222044,2.744123991,93_UK_OFF_2_Hub_DoggerBank_e,hub,0
56.437,3.73,NSY_OFF_2_Hub_NO_w,hub,0
56.75345073,5.097302462,NSY_OFF_2_Hub_NO_c,hub,0
56.95,5.999,NSY_OFF_2_Hub_NO_e,hub,0
55.66384707,7.430202899,DK_w_OFF_2_Hub_DK_hub,hub,1
