Key,SSS_NEW
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T01,S0001
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T02,S0002
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T03,S0003
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T04,S0004
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T05,S0005
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T06,S0006
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T07,S0007
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T08,S0008
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T09,S0009
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T10,S0010
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T11,S0011
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T12,S0012
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T13,S0013
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T14,S0014
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T15,S0015
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T16,S0016
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T17,S0017
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T18,S0018
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T19,S0019
S001T20,S0020
S001T20,S0020
S001T20,S0020
S001T20,S0020
S001T20,S0020
S001T20,S0020
S001T20,S0020
S001T20,S0020
S001T20,S0020
