Key,TTT_NEW
S001T01,T01
S001T01,T02
S001T01,T03
S001T01,T04
S001T01,T05
S001T01,T06
S001T01,T07
S001T01,T08
S001T01,T09
S001T01,T10
S001T01,T11
S001T01,T12
S001T02,T01
S001T02,T02
S001T02,T03
S001T02,T04
S001T02,T05
S001T02,T06
S001T02,T07
S001T02,T08
S001T02,T09
S001T02,T10
S001T02,T11
S001T02,T12
S001T03,T01
S001T03,T02
S001T03,T03
S001T03,T04
S001T03,T05
S001T03,T06
S001T03,T07
S001T03,T08
S001T03,T09
S001T03,T10
S001T03,T11
S001T03,T12
S001T04,T01
S001T04,T02
S001T04,T03
S001T04,T04
S001T04,T05
S001T04,T06
S001T04,T07
S001T04,T08
S001T04,T09
S001T04,T10
S001T04,T11
S001T04,T12
S001T05,T01
S001T05,T02
S001T05,T03
S001T05,T04
S001T05,T05
S001T05,T06
S001T05,T07
S001T05,T08
S001T05,T09
S001T05,T10
S001T05,T11
S001T05,T12
S001T06,T01
S001T06,T02
S001T06,T03
S001T06,T04
S001T06,T05
S001T06,T06
S001T06,T07
S001T06,T08
S001T06,T09
S001T06,T10
S001T06,T11
S001T06,T12
S001T07,T01
S001T07,T02
S001T07,T03
S001T07,T04
S001T07,T05
S001T07,T06
S001T07,T07
S001T07,T08
S001T07,T09
S001T07,T10
S001T07,T11
S001T07,T12
S001T08,T01
S001T08,T02
S001T08,T03
S001T08,T04
S001T08,T05
S001T08,T06
S001T08,T07
S001T08,T08
S001T08,T09
S001T08,T10
S001T08,T11
S001T08,T12
S001T09,T01
S001T09,T02
S001T09,T03
S001T09,T04
S001T09,T05
S001T09,T06
S001T09,T07
S001T09,T08
S001T09,T09
S001T09,T10
S001T09,T11
S001T09,T12
S001T10,T01
S001T10,T02
S001T10,T03
S001T10,T04
S001T10,T05
S001T10,T06
S001T10,T07
S001T10,T08
S001T10,T09
S001T10,T10
S001T10,T11
S001T10,T12
S001T11,T01
S001T11,T02
S001T11,T03
S001T11,T04
S001T11,T05
S001T11,T06
S001T11,T07
S001T11,T08
S001T11,T09
S001T11,T10
S001T11,T11
S001T11,T12
S001T12,T01
S001T12,T02
S001T12,T03
S001T12,T04
S001T12,T05
S001T12,T06
S001T12,T07
S001T12,T08
S001T12,T09
S001T12,T10
S001T12,T11
S001T12,T12
S001T13,T01
S001T13,T02
S001T13,T03
S001T13,T04
S001T13,T05
S001T13,T06
S001T13,T07
S001T13,T08
S001T13,T09
S001T13,T10
S001T13,T11
S001T13,T12
S001T14,T01
S001T14,T02
S001T14,T03
S001T14,T04
S001T14,T05
S001T14,T06
S001T14,T07
S001T14,T08
S001T14,T09
S001T14,T10
S001T14,T11
S001T14,T12
S001T15,T01
S001T15,T02
S001T15,T03
S001T15,T04
S001T15,T05
S001T15,T06
S001T15,T07
S001T15,T08
S001T15,T09
S001T15,T10
S001T15,T11
S001T15,T12
S001T16,T01
