IRRRE,IRRRI,LatImp,LonImp,LatExp,LonExp
NO2,DE4-N,56,6.3,59.14,7.6652
NO2,DE4-N,54.01,9.94,56,6.3
DE4-N,NO2,56,6.3,54.01,9.94
DE4-N,NO2,59.14,7.6652,56,6.3
UK,DE4-W,53.98,7.45,52.9814,-1.4132
UK,DE4-W,52.1014,8.3,53.98,7.45
DE4-W,UK,53.98,7.45,52.1014,8.3
DE4-W,UK,52.9814,-1.4132,53.98,7.45
NL,NO2,55.85,5.5,52.26,5.34
NL,NO2,59.14,7.6652,55.85,5.5
NO2,NL,55.85,5.5,59.14,7.6652
NO2,NL,52.26,5.34,55.85,5.5
DK1,UK,55.45,3.96,56.35,9.39
DK1,UK,52.9814,-1.4132,55.45,3.96
UK,DK1,55.45,3.96,52.9814,-1.4132
UK,DK1,56.35,9.39,55.45,3.96
SE4,DE4-N,54.97,12.52,56.7153,14.4138
SE4,DE4-N,54.01,9.94,54.97,12.52
DE4-N,SE4,54.97,12.52,54.01,9.94
DE4-N,SE4,56.7153,14.4138,54.97,12.52
