Lat,Lon,RRR,Type
60.8,10.6765,NO1,region
59.14,7.6652,NO2,region
62.6124,9.5292,NO3,region
65.5804,13.0112,NO4,region
60.8,6.6,NO5,region
56.35,9.39,DK1,region
55.47,11.79,DK2,region
61.9096,24.9048,FIN,region
52.1014,12.4,DE4-E,region
54.01,9.94,DE4-N,region
48.8778,10.0527,DE4-S,region
52.1014,8.3,DE4-W,region
52.26,5.34,NL,region
65.5804,17.9102,SE1,region
63.3607,15.855,SE2,region
59.45,14.6753,SE3,region
56.7153,14.4138,SE4,region
52.9814,-1.4132,UK,region
52.7,17.9,PL,region
50.6766,4.5966,BE,region
46.9944,2.8898,FR,region
54.352,6.3325,31_DE_OFF_2_Hub_BorWin,hub
54.453,7.739,31_DE_OFF_2_Hub_HelWin,hub
55.063,7.24,31_DE_OFF_2_Hub_SylWin,hub
53.9915,6.660333333,31_DE_OFF_2_Hub_DolWin,hub
52.86961366,2.761173437,90_UK_OFF_2_Hub_UKandNL_w,hub
52.93131079,3.667689741,NL3_OFF_2_Hub_UKandNL_e,hub
54.9107,5.332,31_DE_OFF_2_Hub_NorWin,hub
54.7266,6.23735,31_DE_OFF_2_Hub_WeiWin,hub
53.98840028,1.458576138,93_UK_OFF_2_Hub_HornSea_w,hub
53.8756283,2.23465035,93_UK_OFF_2_Hub_HornSea_e,hub
54.96255271,1.801716778,93_UK_OFF_2_Hub_DoggerBank_w,hub
55.24222044,2.744123991,93_UK_OFF_2_Hub_DoggerBank_e,hub
56.437,3.73,NSY_OFF_2_Hub_NO_w,hub
56.75345073,5.097302462,NSY_OFF_2_Hub_NO_c,hub
56.95,5.999,NSY_OFF_2_Hub_NO_e,hub
55.66384707,7.430202899,DK_w_OFF_2_Hub_DK_hub,hub
