file,group_criteria,group_ccc,aver
ECONOMY_ELEC_TRANSMISSION,Dim7,yes,no
ECONOMY_GENERATION,Dim11,yes,no
ECONOMY_HEAT_TRANSMISSION,Dim8,yes,no
ELEC_DEMAND,Dim6,yes,no
ELEC_PRICE,Dim7,yes,yes
ELEC_PRICE_HOURLY,Dim6,yes,yes
ELEC_TRANSMISSION_CAPACITY,Dim5&Dim6,yes,no
ELEC_TRANSMISSION_FLOW,Dim5&Dim6,no,no
EMISSIONS_CO2,Dim9&Dim8,yes,no
ENERGY_PRODUCTION,Dim9&Dim8&Dim10,yes,no
FUEL_CONSUMPTION,Dim8,yes,no
GENERATION_CAPACITY,Dim10,yes,no
HEAT_DEMAND,Dim7,yes,no
HEAT_PRICE,Dim7,yes,yes
HEAT_PRICE_HOURLY,Dim7,yes,yes
HEAT_TRANSMISSION_CAPACITY,Dim5&Dim6,yes,no
HEAT_TRANSMISSION_FLOW,Dim5&Dim6,yes,no
STORAGE_CAPACITY,Dim10,yes,no
SYSTEM_COSTS,Dim6,yes,no
