"Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Val"
"ScenarioResults_181_270","Scenario181","2025","NORWAY","NO1","AVERAGE","Money_per_MWh",48.3729526177141
"ScenarioResults_181_270","Scenario181","2025","NORWAY","NO2","AVERAGE","Money_per_MWh",48.0667460045593
"ScenarioResults_181_270","Scenario181","2025","NORWAY","NO3","AVERAGE","Money_per_MWh",42.2622647669638
"ScenarioResults_181_270","Scenario181","2025","NORWAY","NO4","AVERAGE","Money_per_MWh",40.3564807475345
"ScenarioResults_181_270","Scenario181","2025","NORWAY","NO5","AVERAGE","Money_per_MWh",46.3089674093258
"ScenarioResults_181_270","Scenario181","2025","DENMARK","DK1","AVERAGE","Money_per_MWh",54.8545804131399
"ScenarioResults_181_270","Scenario181","2025","DENMARK","DK2","AVERAGE","Money_per_MWh",54.0780511577924
"ScenarioResults_181_270","Scenario181","2025","FINLAND","FIN","AVERAGE","Money_per_MWh",40.2650691323413
"ScenarioResults_181_270","Scenario181","2025","GERMANY","DE4-E","AVERAGE","Money_per_MWh",56.7255180979819
"ScenarioResults_181_270","Scenario181","2025","GERMANY","DE4-N","AVERAGE","Money_per_MWh",56.1513303745476
"ScenarioResults_181_270","Scenario181","2025","GERMANY","DE4-S","AVERAGE","Money_per_MWh",60.7891613891577
"ScenarioResults_181_270","Scenario181","2025","GERMANY","DE4-W","AVERAGE","Money_per_MWh",58.5986467035476
"ScenarioResults_181_270","Scenario181","2025","NETHERLANDS","NL","AVERAGE","Money_per_MWh",56.8490571799005
"ScenarioResults_181_270","Scenario181","2025","SWEDEN","SE1","AVERAGE","Money_per_MWh",40.0878280156527
"ScenarioResults_181_270","Scenario181","2025","SWEDEN","SE2","AVERAGE","Money_per_MWh",41.7698189918562
"ScenarioResults_181_270","Scenario181","2025","SWEDEN","SE3","AVERAGE","Money_per_MWh",47.0562280077145
"ScenarioResults_181_270","Scenario181","2025","SWEDEN","SE4","AVERAGE","Money_per_MWh",49.1770683650823
"ScenarioResults_181_270","Scenario181","2025","UNITED_KINGDOM","UK","AVERAGE","Money_per_MWh",57.5853621624252
"ScenarioResults_181_270","Scenario181","2025","POLAND","PL","AVERAGE","Money_per_MWh",55.397147230393
"ScenarioResults_181_270","Scenario181","2025","BELGIUM","BE","AVERAGE","Money_per_MWh",57.961785651388
"ScenarioResults_181_270","Scenario181","2025","FRANCE","FR","AVERAGE","Money_per_MWh",53.9123040768081
"ScenarioResults_181_270","Scenario181","2035","NORWAY","NO1","AVERAGE","Money_per_MWh",53.3694644180404
"ScenarioResults_181_270","Scenario181","2035","NORWAY","NO2","AVERAGE","Money_per_MWh",57.1635959403491
"ScenarioResults_181_270","Scenario181","2035","NORWAY","NO3","AVERAGE","Money_per_MWh",46.5045102878177
"ScenarioResults_181_270","Scenario181","2035","NORWAY","NO4","AVERAGE","Money_per_MWh",44.2969759221258
"ScenarioResults_181_270","Scenario181","2035","NORWAY","NO5","AVERAGE","Money_per_MWh",52.0629435872018
"ScenarioResults_181_270","Scenario181","2035","DENMARK","DK1","AVERAGE","Money_per_MWh",64.6434434704718
"ScenarioResults_181_270","Scenario181","2035","DENMARK","DK2","AVERAGE","Money_per_MWh",68.1236597050456
"ScenarioResults_181_270","Scenario181","2035","FINLAND","FIN","AVERAGE","Money_per_MWh",49.0022089981074
"ScenarioResults_181_270","Scenario181","2035","GERMANY","DE4-E","AVERAGE","Money_per_MWh",68.5489590349176
"ScenarioResults_181_270","Scenario181","2035","GERMANY","DE4-N","AVERAGE","Money_per_MWh",67.6226560662602
"ScenarioResults_181_270","Scenario181","2035","GERMANY","DE4-S","AVERAGE","Money_per_MWh",71.8529672021134
"ScenarioResults_181_270","Scenario181","2035","GERMANY","DE4-W","AVERAGE","Money_per_MWh",70.4447459797523
"ScenarioResults_181_270","Scenario181","2035","NETHERLANDS","NL","AVERAGE","Money_per_MWh",70.3366065304645
"ScenarioResults_181_270","Scenario181","2035","SWEDEN","SE1","AVERAGE","Money_per_MWh",46.7894921456526
"ScenarioResults_181_270","Scenario181","2035","SWEDEN","SE2","AVERAGE","Money_per_MWh",49.6850591530824
"ScenarioResults_181_270","Scenario181","2035","SWEDEN","SE3","AVERAGE","Money_per_MWh",55.7900970075563
"ScenarioResults_181_270","Scenario181","2035","SWEDEN","SE4","AVERAGE","Money_per_MWh",61.3337248444481
"ScenarioResults_181_270","Scenario181","2035","UNITED_KINGDOM","UK","AVERAGE","Money_per_MWh",66.1478982024668
"ScenarioResults_181_270","Scenario181","2035","POLAND","PL","AVERAGE","Money_per_MWh",65.8477585284646
"ScenarioResults_181_270","Scenario181","2035","BELGIUM","BE","AVERAGE","Money_per_MWh",70.8835543272513
"ScenarioResults_181_270","Scenario181","2035","FRANCE","FR","AVERAGE","Money_per_MWh",64.7581169231857
"ScenarioResults_181_270","Scenario181","2045","NORWAY","NO1","AVERAGE","Money_per_MWh",46.293606584242
"ScenarioResults_181_270","Scenario181","2045","NORWAY","NO2","AVERAGE","Money_per_MWh",48.0155137095228
"ScenarioResults_181_270","Scenario181","2045","NORWAY","NO3","AVERAGE","Money_per_MWh",41.5531929274427
"ScenarioResults_181_270","Scenario181","2045","NORWAY","NO4","AVERAGE","Money_per_MWh",39.4448619891367
"ScenarioResults_181_270","Scenario181","2045","NORWAY","NO5","AVERAGE","Money_per_MWh",44.6933363681228
"ScenarioResults_181_270","Scenario181","2045","DENMARK","DK1","AVERAGE","Money_per_MWh",54.9026950202545
"ScenarioResults_181_270","Scenario181","2045","DENMARK","DK2","AVERAGE","Money_per_MWh",58.5457402029034
"ScenarioResults_181_270","Scenario181","2045","FINLAND","FIN","AVERAGE","Money_per_MWh",44.163908261782
"ScenarioResults_181_270","Scenario181","2045","GERMANY","DE4-E","AVERAGE","Money_per_MWh",58.2147603733106
"ScenarioResults_181_270","Scenario181","2045","GERMANY","DE4-N","AVERAGE","Money_per_MWh",56.3253406986737
"ScenarioResults_181_270","Scenario181","2045","GERMANY","DE4-S","AVERAGE","Money_per_MWh",58.8319079152241
"ScenarioResults_181_270","Scenario181","2045","GERMANY","DE4-W","AVERAGE","Money_per_MWh",58.8690825897453
"ScenarioResults_181_270","Scenario181","2045","NETHERLANDS","NL","AVERAGE","Money_per_MWh",57.8273950398796
"ScenarioResults_181_270","Scenario181","2045","SWEDEN","SE1","AVERAGE","Money_per_MWh",41.2590101221186
"ScenarioResults_181_270","Scenario181","2045","SWEDEN","SE2","AVERAGE","Money_per_MWh",44.3661530397564
"ScenarioResults_181_270","Scenario181","2045","SWEDEN","SE3","AVERAGE","Money_per_MWh",50.2529123721401
"ScenarioResults_181_270","Scenario181","2045","SWEDEN","SE4","AVERAGE","Money_per_MWh",54.1189502364884
"ScenarioResults_181_270","Scenario181","2045","UNITED_KINGDOM","UK","AVERAGE","Money_per_MWh",53.4881091631038
"ScenarioResults_181_270","Scenario181","2045","POLAND","PL","AVERAGE","Money_per_MWh",58.3730110726123
"ScenarioResults_181_270","Scenario181","2045","BELGIUM","BE","AVERAGE","Money_per_MWh",57.5203141849377
"ScenarioResults_181_270","Scenario181","2045","FRANCE","FR","AVERAGE","Money_per_MWh",52.5583857314363
"ScenarioResults_181_270","Scenario182","2025","NORWAY","NO1","AVERAGE","Money_per_MWh",46.4419570414788
"ScenarioResults_181_270","Scenario182","2025","NORWAY","NO2","AVERAGE","Money_per_MWh",46.4010814062516
"ScenarioResults_181_270","Scenario182","2025","NORWAY","NO3","AVERAGE","Money_per_MWh",41.7595941073884
"ScenarioResults_181_270","Scenario182","2025","NORWAY","NO4","AVERAGE","Money_per_MWh",39.6409718615896
"ScenarioResults_181_270","Scenario182","2025","NORWAY","NO5","AVERAGE","Money_per_MWh",44.7127446010945
"ScenarioResults_181_270","Scenario182","2025","DENMARK","DK1","AVERAGE","Money_per_MWh",51.8013649128398
"ScenarioResults_181_270","Scenario182","2025","DENMARK","DK2","AVERAGE","Money_per_MWh",51.6163365106837
"ScenarioResults_181_270","Scenario182","2025","FINLAND","FIN","AVERAGE","Money_per_MWh",39.3291181903059
"ScenarioResults_181_270","Scenario182","2025","GERMANY","DE4-E","AVERAGE","Money_per_MWh",56.2909296349097
"ScenarioResults_181_270","Scenario182","2025","GERMANY","DE4-N","AVERAGE","Money_per_MWh",55.6114461843891
"ScenarioResults_181_270","Scenario182","2025","GERMANY","DE4-S","AVERAGE","Money_per_MWh",60.4127918807733
"ScenarioResults_181_270","Scenario182","2025","GERMANY","DE4-W","AVERAGE","Money_per_MWh",58.1254110784865
"ScenarioResults_181_270","Scenario182","2025","NETHERLANDS","NL","AVERAGE","Money_per_MWh",56.7508795672727
"ScenarioResults_181_270","Scenario182","2025","SWEDEN","SE1","AVERAGE","Money_per_MWh",39.1017896326953
"ScenarioResults_181_270","Scenario182","2025","SWEDEN","SE2","AVERAGE","Money_per_MWh",40.7124629153478
"ScenarioResults_181_270","Scenario182","2025","SWEDEN","SE3","AVERAGE","Money_per_MWh",44.8450623090697
"ScenarioResults_181_270","Scenario182","2025","SWEDEN","SE4","AVERAGE","Money_per_MWh",48.0248877005143
"ScenarioResults_181_270","Scenario182","2025","UNITED_KINGDOM","UK","AVERAGE","Money_per_MWh",57.3901618210883
"ScenarioResults_181_270","Scenario182","2025","POLAND","PL","AVERAGE","Money_per_MWh",55.1637756160794
"ScenarioResults_181_270","Scenario182","2025","BELGIUM","BE","AVERAGE","Money_per_MWh",57.8615530793522
"ScenarioResults_181_270","Scenario182","2025","FRANCE","FR","AVERAGE","Money_per_MWh",53.6488162145124
"ScenarioResults_181_270","Scenario182","2035","NORWAY","NO1","AVERAGE","Money_per_MWh",52.8153286277223
"ScenarioResults_181_270","Scenario182","2035","NORWAY","NO2","AVERAGE","Money_per_MWh",55.8401016895876
"ScenarioResults_181_270","Scenario182","2035","NORWAY","NO3","AVERAGE","Money_per_MWh",46.1157312667215
"ScenarioResults_181_270","Scenario182","2035","NORWAY","NO4","AVERAGE","Money_per_MWh",43.3994207523138
"ScenarioResults_181_270","Scenario182","2035","NORWAY","NO5","AVERAGE","Money_per_MWh",51.4851696493947
"ScenarioResults_181_270","Scenario182","2035","DENMARK","DK1","AVERAGE","Money_per_MWh",58.8094401024124
"ScenarioResults_181_270","Scenario182","2035","DENMARK","DK2","AVERAGE","Money_per_MWh",59.8773288683991
"ScenarioResults_181_270","Scenario182","2035","FINLAND","FIN","AVERAGE","Money_per_MWh",47.451177256328
"ScenarioResults_181_270","Scenario182","2035","GERMANY","DE4-E","AVERAGE","Money_per_MWh",67.237200850907
"ScenarioResults_181_270","Scenario182","2035","GERMANY","DE4-N","AVERAGE","Money_per_MWh",66.2714829553284
"ScenarioResults_181_270","Scenario182","2035","GERMANY","DE4-S","AVERAGE","Money_per_MWh",71.1129123887557
"ScenarioResults_181_270","Scenario182","2035","GERMANY","DE4-W","AVERAGE","Money_per_MWh",69.8430748391061
"ScenarioResults_181_270","Scenario182","2035","NETHERLANDS","NL","AVERAGE","Money_per_MWh",69.024794108774
"ScenarioResults_181_270","Scenario182","2035","SWEDEN","SE1","AVERAGE","Money_per_MWh",45.3965719187348
"ScenarioResults_181_270","Scenario182","2035","SWEDEN","SE2","AVERAGE","Money_per_MWh",47.5921251576324
"ScenarioResults_181_270","Scenario182","2035","SWEDEN","SE3","AVERAGE","Money_per_MWh",53.5175459388196
"ScenarioResults_181_270","Scenario182","2035","SWEDEN","SE4","AVERAGE","Money_per_MWh",58.9375439880145
"ScenarioResults_181_270","Scenario182","2035","UNITED_KINGDOM","UK","AVERAGE","Money_per_MWh",65.2677907503558
"ScenarioResults_181_270","Scenario182","2035","POLAND","PL","AVERAGE","Money_per_MWh",65.5934042338004
"ScenarioResults_181_270","Scenario182","2035","BELGIUM","BE","AVERAGE","Money_per_MWh",69.941845466615
"ScenarioResults_181_270","Scenario182","2035","FRANCE","FR","AVERAGE","Money_per_MWh",64.0351510161708
"ScenarioResults_181_270","Scenario182","2045","NORWAY","NO1","AVERAGE","Money_per_MWh",45.1439617032839
